unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
EAPR,IDN,Indonesia,BCG,88.0,93.0,81.0,87.0,90.0,92.0,93.0,90.0,90.0,90.0,90.0,88.0,98.0,88.0,78.0,80.0,83.0,88.0,86.0,85.0,83.0,82.0,80.0,81.0
MENA,IRN,Iran (Islamic Republic of),BCG,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,91.0,99.0
MENA,IRQ,Iraq,BCG,93.0,96.0,94.0,99.0,98.0,95.0,92.0,87.0,94.0,99.0,99.0,99.0,94.0,90.0,92.0,87.0,92.0,89.0,92.0,94.0,94.0,94.0,93.0,93.0
Non-programme,IRL,Ireland,BCG,,,,,,,,18.0,77.0,74.0,76.0,42.0,41.0,30.0,30.0,34.0,33.0,31.0,31.0,30.0,90.0,90.0,89.0,89.0
LACR,JAM,Jamaica,BCG,99.0,98.0,97.0,99.0,97.0,93.0,93.0,96.0,99.0,90.0,93.0,95.0,95.0,95.0,94.0,92.0,87.0,90.0,95.0,90.0,88.0,90.0,96.0,94.0
Non-programme,JPN,Japan,BCG,97.0,98.0,98.0,95.0,97.0,99.0,93.0,98.0,84.0,93.0,93.0,95.0,94.0,99.0,94.0,90.0,94.0,,,,,,,
MENA,JOR,Jordan,BCG,90.0,86.0,81.0,76.0,86.0,94.0,99.0,99.0,98.0,95.0,98.0,96.0,95.0,95.0,95.0,95.0,90.0,95.0,89.0,58.0,67.0,29.0,,
ECAR,KAZ,Kazakhstan,BCG,93.0,93.0,94.0,93.0,87.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,97.0,99.0,99.0,69.0,65.0,99.0,99.0,95.0,98.0
ESAR,KEN,Kenya,BCG,90.0,94.0,94.0,97.0,96.0,93.0,87.0,97.0,87.0,94.0,92.0,97.0,99.0,99.0,99.0,98.0,92.0,92.0,85.0,87.0,87.0,91.0,94.0,91.0
EAPR,KIR,Kiribati,BCG,96.0,96.0,96.0,93.0,92.0,90.0,89.0,79.0,79.0,72.0,86.0,95.0,86.0,87.0,76.0,83.0,90.0,91.0,93.0,94.0,91.0,88.0,85.0,80.0
MENA,KWT,Kuwait,BCG,99.0,99.0,99.0,98.0,97.0,96.0,99.0,96.0,99.0,99.0,99.0,97.0,99.0,98.0,99.0,99.0,94.0,84.0,,,,,,
ECAR,KGZ,Kyrgyzstan,BCG,95.0,97.0,97.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,99.0,98.0,99.0,96.0,98.0,99.0,99.0,99.0,96.0
EAPR,LAO,Lao People's Democratic Republic,BCG,93.0,90.0,80.0,90.0,85.0,92.0,91.0,89.0,89.0,89.0,87.0,85.0,78.0,72.0,67.0,68.0,56.0,61.0,65.0,60.0,65.0,65.0,60.0,69.0
Non-programme,LVA,Latvia,BCG,98.0,99.0,96.0,99.0,96.0,95.0,96.0,96.0,93.0,92.0,94.0,94.0,93.0,92.0,96.0,95.0,95.0,95.0,97.0,98.0,97.0,99.0,99.0,99.0
ESAR,LSO,Lesotho,BCG,68.0,85.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,97.0,98.0,93.0,87.0,90.0,92.0,95.0,95.0,95.0,96.0,96.0,96.0,90.0,83.0,88.0
WCAR,LBR,Liberia,BCG,82.0,67.0,81.0,85.0,84.0,92.0,87.0,81.0,74.0,73.0,87.0,85.0,85.0,73.0,87.0,85.0,77.0,77.0,76.0,60.0,64.0,69.0,73.0,78.0
MENA,LBY,Libya,BCG,74.0,74.0,74.0,74.0,74.0,74.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0
Non-programme,LTU,Lithuania,BCG,93.0,93.0,93.0,96.0,97.0,96.0,97.0,98.0,97.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
ESAR,MDG,Madagascar,BCG,73.0,63.0,52.0,75.0,79.0,77.0,74.0,74.0,56.0,64.0,70.0,74.0,82.0,76.0,78.0,83.0,94.0,95.0,92.0,85.0,77.0,73.0,73.0,72.0
ESAR,MWI,Malawi,BCG,88.0,84.0,89.0,87.0,91.0,92.0,89.0,86.0,90.0,97.0,96.0,99.0,99.0,97.0,95.0,97.0,95.0,99.0,99.0,97.0,91.0,78.0,93.0,83.0
EAPR,MYS,Malaysia,BCG,99.0,98.0,99.0,99.0,99.0,98.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,99.0,98.0,98.0,99.0
ROSA,MDV,Maldives,BCG,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,99.0,98.0,98.0,99.0,97.0,98.0,98.0,99.0,98.0,99.0
WCAR,MLI,Mali,BCG,71.0,80.0,81.0,78.0,82.0,82.0,83.0,82.0,78.0,73.0,70.0,77.0,84.0,82.0,84.0,86.0,86.0,86.0,83.0,76.0,74.0,82.0,75.0,69.0
EAPR,MHL,Marshall Islands,BCG,99.0,95.0,83.0,91.0,89.0,98.0,92.0,94.0,99.0,89.0,93.0,97.0,80.0,99.0,98.0,95.0,92.0,92.0,93.0,91.0,93.0,90.0,99.0,89.0
WCAR,MRT,Mauritania,BCG,98.0,98.0,89.0,92.0,90.0,89.0,88.0,86.0,85.0,93.0,95.0,95.0,86.0,85.0,81.0,89.0,92.0,86.0,91.0,94.0,96.0,99.0,95.0,78.0
Non-programme,MUS,Mauritius,BCG,98.0,97.0,95.0,96.0,99.0,99.0,99.0,98.0,98.0,97.0,99.0,99.0,99.0,99.0,95.0,96.0,98.0,97.0,99.0,99.0,99.0,87.0,89.0,88.0
LACR,MEX,Mexico,BCG,89.0,95.0,99.0,28.0,76.0,96.0,94.0,99.0,98.0,96.0,91.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
EAPR,FSM,Micronesia (Federated States of),BCG,77.0,75.0,59.0,84.0,77.0,80.0,83.0,85.0,76.0,73.0,70.0,78.0,75.0,70.0,75.0,79.0,82.0,55.0,70.0,62.0,64.0,52.0,39.0,24.0
Non-programme,MCO,Monaco,BCG,,,,,,,,,,,,,,,,,89.0,89.0,89.0,89.0,89.0,92.0,94.0,97.0
EAPR,MNG,Mongolia,BCG,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,98.0,99.0,98.0,98.0,98.0,98.0,97.0
ECAR,MNE,Montenegro,BCG,80.0,86.0,76.0,67.0,80.0,93.0,83.0,85.0,88.0,91.0,93.0,95.0,97.0,95.0,95.0,98.0,98.0,98.0,,,,,,
MENA,MAR,Morocco,BCG,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,95.0,95.0,95.0,92.0,92.0,93.0,97.0
ESAR,MOZ,Mozambique,BCG,93.0,90.0,84.0,89.0,93.0,93.0,93.0,93.0,93.0,93.0,92.0,92.0,91.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,87.0,86.0,84.0
EAPR,MMR,Myanmar,BCG,80.0,79.0,48.0,87.0,91.0,90.0,91.0,88.0,94.0,92.0,86.0,87.0,93.0,93.0,93.0,88.0,89.0,85.0,76.0,85.0,80.0,82.0,75.0,88.0
ESAR,NAM,Namibia,BCG,91.0,92.0,93.0,99.0,98.0,96.0,94.0,89.0,94.0,97.0,94.0,90.0,89.0,88.0,85.0,88.0,95.0,88.0,95.0,94.0,92.0,81.0,69.0,77.0
EAPR,NRU,Nauru,BCG,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,90.0,93.0,97.0,99.0,99.0,93.0
ROSA,NPL,Nepal,BCG,97.0,96.0,95.0,92.0,96.0,96.0,95.0,93.0,94.0,99.0,97.0,96.0,97.0,94.0,94.0,87.0,89.0,93.0,87.0,85.0,91.0,85.0,84.0,84.0
LACR,NIC,Nicaragua,BCG,79.0,89.0,86.0,93.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,88.0,88.0,94.0,93.0,97.0,96.0
WCAR,NER,Niger,BCG,93.0,95.0,95.0,94.0,70.0,87.0,92.0,91.0,94.0,87.0,43.0,85.0,53.0,81.0,86.0,78.0,73.0,69.0,64.0,61.0,58.0,56.0,53.0,50.0
WCAR,NGA,Nigeria,BCG,74.0,74.0,74.0,74.0,75.0,71.0,67.0,64.0,53.0,51.0,51.0,51.0,57.0,62.0,76.0,65.0,53.0,52.0,49.0,45.0,42.0,38.0,41.0,44.0
EAPR,NIU,Niue,BCG,99.0,99.0,88.0,94.0,99.0,99.0,99.0,92.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,96.0,99.0,99.0,99.0,99.0
ECAR,MKD,North Macedonia,BCG,93.0,93.0,93.0,93.0,93.0,93.0,97.0,99.0,94.0,99.0,97.0,95.0,94.0,96.0,98.0,94.0,95.0,92.0,99.0,94.0,95.0,91.0,97.0,97.0
MENA,OMN,Oman,BCG,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,98.0,98.0,98.0,98.0
ROSA,PAK,Pakistan,BCG,96.0,95.0,93.0,91.0,93.0,90.0,86.0,86.0,86.0,85.0,84.0,84.0,83.0,74.0,74.0,75.0,77.0,77.0,78.0,78.0,80.0,82.0,78.0,74.0
LACR,PAN,Panama,BCG,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,95.0,98.0,99.0,99.0,99.0,98.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0
EAPR,PNG,Papua New Guinea,BCG,43.0,48.0,42.0,52.0,45.0,52.0,62.0,72.0,67.0,84.0,93.0,91.0,91.0,88.0,89.0,80.0,81.0,90.0,90.0,89.0,89.0,84.0,81.0,88.0
LACR,PRY,Paraguay,BCG,78.0,79.0,79.0,84.0,87.0,91.0,96.0,94.0,96.0,96.0,91.0,93.0,94.0,93.0,91.0,94.0,98.0,99.0,98.0,97.0,88.0,83.0,86.0,85.0
LACR,PER,Peru,BCG,87.0,89.0,87.0,87.0,94.0,94.0,92.0,90.0,91.0,94.0,95.0,95.0,91.0,95.0,97.0,97.0,96.0,96.0,95.0,95.0,94.0,92.0,87.0,93.0
EAPR,PHL,Philippines,BCG,91.0,87.0,71.0,88.0,89.0,89.0,90.0,90.0,85.0,88.0,92.0,95.0,94.0,93.0,92.0,91.0,90.0,91.0,91.0,91.0,86.0,85.0,92.0,92.0
Non-programme,POL,Poland,BCG,90.0,90.0,92.0,91.0,91.0,91.0,92.0,93.0,94.0,92.0,93.0,94.0,94.0,93.0,94.0,93.0,93.0,94.0,94.0,94.0,93.0,95.0,95.0,96.0
Non-programme,PRT,Portugal,BCG,,,,,,,,,32.0,99.0,99.0,99.0,97.0,96.0,98.0,98.0,98.0,99.0,89.0,83.0,81.0,81.0,82.0,82.0
MENA,QAT,Qatar,BCG,99.0,99.0,99.0,98.0,99.0,99.0,99.0,97.0,97.0,90.0,98.0,97.0,97.0,99.0,98.0,97.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Non-programme,KOR,Republic of Korea,BCG,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,99.0,99.0,99.0,99.0,96.0,96.0,96.0,96.0,98.0,97.0,93.0,87.0,89.0,81.0,73.0
ECAR,MDA,Republic of Moldova,BCG,96.0,93.0,98.0,95.0,94.0,96.0,96.0,97.0,97.0,97.0,96.0,99.0,98.0,98.0,96.0,98.0,98.0,99.0,97.0,99.0,99.0,99.0,99.0,99.0
ECAR,ROU,Romania,BCG,94.0,97.0,97.0,97.0,96.0,96.0,97.0,84.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0
