unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Non-programme,IRL,Ireland,MCV1,89,90,90,92,91,92,92,92,93,93,93,92,92,90.0,90.0,89.0,87.0,86.0,84.0,81.0,78.0,73.0,73.0,79.0
Non-programme,ISR,Israel,MCV1,98,98,99,99,99,98,98,97,98,97,98,96,97,96.0,97.0,98.0,97.0,96.0,94.0,97.0,96.0,95.0,95.0,95.0
Non-programme,ITA,Italy,MCV1,95,94,94,92,94,93,92,87,85,87,90,90,90,91.0,90.0,90.0,90.0,88.0,87.0,86.0,84.0,81.0,77.0,74.0
LACR,JAM,Jamaica,MCV1,93,91,88,93,94,89,95,95,91,92,94,93,88,89.0,88.0,88.0,76.0,87.0,84.0,86.0,78.0,86.0,85.0,88.0
Non-programme,JPN,Japan,MCV1,94,98,95,98,96,97,97,96,96,98,95,96,94,94.0,94.0,95.0,96.0,97.0,98.0,98.0,98.0,98.0,98.0,96.0
MENA,JOR,Jordan,MCV1,95,86,81,76,87,92,93,96,94,98,97,98,98,98.0,95.0,95.0,95.0,99.0,95.0,99.0,96.0,95.0,99.0,94.0
ECAR,KAZ,Kazakhstan,MCV1,99,99,97,93,99,99,99,99,99,99,99,96,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,95.0,95.0,99.0
ESAR,KEN,Kenya,MCV1,91,89,90,89,92,92,84,93,96,95,94,93,87,86.0,88.0,90.0,80.0,77.0,69.0,73.0,72.0,78.0,77.0,78.0
EAPR,KIR,Kiribati,MCV1,79,85,80,82,94,84,81,80,84,88,91,91,90,89.0,82.0,72.0,93.0,61.0,85.0,56.0,72.0,88.0,76.0,80.0
MENA,KWT,Kuwait,MCV1,99,99,94,95,97,98,99,99,93,94,99,99,99,98.0,99.0,99.0,99.0,99.0,99.0,97.0,97.0,97.0,99.0,99.0
ECAR,KGZ,Kyrgyzstan,MCV1,96,94,93,92,96,96,95,97,99,96,99,98,97,99.0,99.0,99.0,99.0,97.0,99.0,99.0,99.0,98.0,99.0,98.0
EAPR,LAO,Lao People's Democratic Republic,MCV1,80,76,73,79,83,86,86,81,81,81,78,69,67,64.0,59.0,52.0,40.0,48.0,41.0,36.0,42.0,55.0,50.0,42.0
Non-programme,LVA,Latvia,MCV1,96,96,97,99,99,98,96,93,96,95,96,90,92,95.0,92.0,96.0,95.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0
MENA,LBN,Lebanon,MCV1,73,67,67,74,81,81,81,81,82,82,82,81,81,80.0,80.0,79.0,74.0,69.0,63.0,58.0,53.0,59.0,65.0,71.0
ESAR,LSO,Lesotho,MCV1,90,81,90,90,90,90,90,90,93,92,90,91,92,88.0,84.0,80.0,81.0,82.0,83.0,84.0,85.0,78.0,70.0,74.0
WCAR,LBR,Liberia,MCV1,82,79,58,61,68,74,75,70,64,58,74,80,71,65.0,83.0,76.0,71.0,63.0,62.0,41.0,47.0,52.0,58.0,63.0
