unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
MENA,QAT,Qatar,HEPBB,98.0,99.0,99.0,98.0,98.0,97.0,97.0,96.0,95.0,92.0,93.0,95.0,95.0,99.0,94.0,94.0,93.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Non-programme,KOR,Republic of Korea,HEPBB,92.0,92.0,92.0,93.0,92.0,91.0,93.0,92.0,98.0,92.0,,,,,,,,,,,,,,
ECAR,MDA,Republic of Moldova,HEPBB,96.0,93.0,93.0,95.0,93.0,96.0,96.0,99.0,96.0,96.0,95.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,91.0,93.0
ECAR,ROU,Romania,HEPBB,94.0,97.0,97.0,97.0,99.0,68.0,36.0,93.0,96.0,73.0,98.0,99.0,99.0,98.0,97.0,99.0,90.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
LACR,KNA,Saint Kitts and Nevis,HEPBB,98.0,96.0,95.0,93.0,84.0,82.0,83.0,90.0,18.0,,,,,,,,,,,,,,,
LACR,LCA,Saint Lucia,HEPBB,85.0,82.0,94.0,86.0,85.0,17.0,,,,,,,,,,,,,,,,,,
LACR,VCT,Saint Vincent and the Grenadines,HEPBB,97.0,98.0,93.0,96.0,99.0,97.0,30.0,,,,,,,,,,,,,,,,,
EAPR,WSM,Samoa,HEPBB,92.0,95.0,89.0,92.0,78.0,59.0,80.0,78.0,71.0,69.0,77.0,83.0,87.0,78.0,62.0,68.0,85.0,58.0,52.0,45.0,85.0,86.0,85.0,86.0
WCAR,STP,Sao Tome and Principe,HEPBB,78.0,74.0,69.0,82.0,95.0,,,,,,,,,,,,,,,,,,,
MENA,SAU,Saudi Arabia,HEPBB,97.0,98.0,98.0,96.0,96.0,98.0,96.0,98.0,98.0,98.0,99.0,99.0,98.0,98.0,98.0,98.0,96.0,95.0,96.0,95.0,94.0,98.0,94.0,
WCAR,SEN,Senegal,HEPBB,78.0,72.0,74.0,82.0,81.0,81.0,76.0,62.0,,,,,,,,,,,,,,,,
ECAR,SRB,Serbia,HEPBB,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,,,,
Non-programme,SGP,Singapore,HEPBB,91.0,92.0,92.0,88.0,90.0,92.0,91.0,91.0,71.0,68.0,68.0,67.0,69.0,69.0,69.0,71.0,72.0,74.0,74.0,72.0,77.0,,,
EAPR,SLB,Solomon Islands,HEPBB,75.0,76.0,76.0,70.0,66.0,66.0,67.0,67.0,65.0,62.0,58.0,59.0,61.0,62.0,71.0,80.0,83.0,81.0,80.0,78.0,76.0,73.0,99.0,
MENA,PSE,State of Palestine,HEPBB,84.0,95.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,97.0,96.0,96.0,95.0,95.0,99.0,99.0,98.0,97.0,95.0,93.0,94.0,95.0
LACR,SUR,Suriname,HEPBB,79.0,79.0,79.0,79.0,79.0,79.0,80.0,80.0,65.0,64.0,45.0,51.0,46.0,41.0,36.0,69.0,67.0,64.0,,,,,,
MENA,SYR,Syrian Arab Republic,HEPBB,5.0,,,,,,,,,,,,,,,,,,,,,,,
ECAR,TJK,Tajikistan,HEPBB,99.0,99.0,99.0,99.0,99.0,99.0,99.0,92.0,95.0,98.0,98.0,96.0,98.0,96.0,97.0,85.0,83.0,94.0,98.0,90.0,77.0,80.0,,
EAPR,THA,Thailand,HEPBB,89.0,89.0,89.0,93.0,96.0,99.0,99.0,,,,,,,,,,,,,,,,,
EAPR,TLS,Timor-Leste,HEPBB,76.0,76.0,76.0,64.0,62.0,58.0,61.0,42.0,,,,,,,,,,,,,,,,
EAPR,TON,Tonga,HEPBB,99.0,99.0,99.0,99.0,99.0,99.0,99.0,91.0,92.0,99.0,99.0,95.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
MENA,TUN,Tunisia,HEPBB,75.0,67.0,74.0,80.0,81.0,81.0,83.0,85.0,88.0,80.0,82.0,73.0,80.0,82.0,88.0,92.0,89.0,,,,,,,
ECAR,TUR,Turkiye,HEPBB,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,97.0,97.0,96.0,96.0,96.0,95.0,94.0,88.0,78.0,,,
ECAR,TKM,Turkmenistan,HEPBB,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,,
EAPR,TUV,Tuvalu,HEPBB,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,98.0,99.0,97.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,91.0,90.0,83.0,92.0,99.0
ECAR,UKR,Ukraine,HEPBB,55.0,53.0,56.0,69.0,60.0,60.0,49.0,37.0,57.0,57.0,51.0,51.0,53.0,64.0,73.0,82.0,89.0,88.0,96.0,99.0,85.0,70.0,34.0,
MENA,ARE,United Arab Emirates,HEPBB,97.0,96.0,96.0,83.0,91.0,94.0,97.0,99.0,96.0,91.0,96.0,96.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Non-programme,USA,United States,HEPBB,75.0,75.0,72.0,69.0,67.0,66.0,63.0,64.0,72.0,72.0,74.0,72.0,69.0,64.0,61.0,55.0,53.0,50.0,50.0,48.0,39.0,21.0,,
ECAR,UZB,Uzbekistan,HEPBB,98.0,99.0,99.0,97.0,99.0,95.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,48.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,
EAPR,VUT,Vanuatu,HEPBB,76.0,69.0,66.0,59.0,82.0,80.0,75.0,,,,,,,,,,,,,,,,,
LACR,VEN,Venezuela (Bolivarian Republic of),HEPBB,28.0,24.0,37.0,50.0,52.0,55.0,56.0,56.0,64.0,72.0,80.0,67.0,78.0,73.0,66.0,73.0,64.0,61.0,63.0,57.0,44.0,34.0,35.0,14.0
EAPR,VNM,Viet Nam,HEPBB,82.0,77.0,77.0,82.0,79.0,74.0,77.0,68.0,70.0,55.0,56.0,76.0,55.0,21.0,40.0,25.0,27.0,,,,,,,
