unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Non-programme,IRL,Ireland,DTP3,89,93,94,94,94,94,95,95,95,96,96,95,95,94.0,94.0,93.0,92.0,91.0,90.0,89.0,86.0,83.0,84.0,86.0
Non-programme,ISR,Israel,DTP3,98,98,98,98,98,98,98,94,95,95,96,94,94,95.0,96.0,94.0,95.0,95.0,93.0,95.0,93.0,90.0,92.0,93.0
Non-programme,ITA,Italy,DTP3,95,95,94,94,96,95,95,94,93,95,96,97,96,96.0,96.0,96.0,97.0,96.0,95.0,94.0,96.0,93.0,93.0,87.0
LACR,JAM,Jamaica,DTP3,98,98,90,96,96,97,93,99,91,92,93,96,92,94.0,90.0,91.0,92.0,95.0,99.0,98.0,96.0,99.0,99.0,93.0
Non-programme,JPN,Japan,DTP3,98,99,99,96,98,98,99,99,96,96,96,97,97,97.0,97.0,98.0,98.0,98.0,98.0,99.0,97.0,96.0,95.0,85.0
MENA,JOR,Jordan,DTP3,96,92,85,77,89,96,99,98,99,98,98,98,98,98.0,98.0,97.0,98.0,98.0,95.0,95.0,97.0,95.0,99.0,91.0
ECAR,KAZ,Kazakhstan,DTP3,99,99,95,88,97,98,99,82,98,95,98,99,99,99.0,98.0,99.0,93.0,99.0,98.0,82.0,99.0,95.0,95.0,97.0
ESAR,KEN,Kenya,DTP3,93,94,95,93,93,91,81,88,89,92,87,94,96,90.0,88.0,88.0,81.0,80.0,76.0,73.0,73.0,84.0,80.0,82.0
EAPR,KIR,Kiribati,DTP3,90,91,90,92,97,95,90,81,78,75,95,94,99,91.0,86.0,82.0,94.0,86.0,79.0,62.0,70.0,77.0,85.0,90.0
MENA,KWT,Kuwait,DTP3,99,96,94,93,92,91,99,99,99,95,99,98,99,98.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,98.0
ECAR,KGZ,Kyrgyzstan,DTP3,86,90,89,87,95,94,92,96,97,96,97,96,96,96.0,95.0,95.0,94.0,92.0,98.0,99.0,98.0,98.0,99.0,99.0
EAPR,LAO,Lao People's Democratic Republic,DTP3,84,80,75,79,80,85,84,83,83,83,83,77,76,74.0,67.0,61.0,50.0,57.0,49.0,45.0,49.0,53.0,52.0,51.0
Non-programme,LVA,Latvia,DTP3,98,95,94,99,99,96,98,98,94,92,94,91,92,92.0,94.0,94.0,94.0,96.0,99.0,99.0,98.0,97.0,97.0,96.0
MENA,LBN,Lebanon,DTP3,55,67,67,71,76,77,79,80,82,83,83,83,84,84.0,85.0,85.0,83.0,81.0,78.0,76.0,74.0,77.0,80.0,83.0
ESAR,LSO,Lesotho,DTP3,87,87,87,87,87,87,87,87,83,88,93,95,96,93.0,91.0,88.0,88.0,89.0,89.0,90.0,90.0,84.0,78.0,83.0
WCAR,LBR,Liberia,DTP3,82,78,66,65,70,80,80,73,65,63,80,80,77,70.0,81.0,75.0,65.0,60.0,60.0,31.0,35.0,39.0,42.0,46.0
MENA,LBY,Libya,DTP3,73,73,73,73,73,73,96,97,97,94,96,98,98,98.0,98.0,98.0,98.0,98.0,98.0,97.0,95.0,93.0,94.0,94.0
Non-programme,LTU,Lithuania,DTP3,90,90,90,91,92,92,94,94,93,93,93,93,92,95.0,98.0,96.0,95.0,94.0,94.0,94.0,94.0,95.0,95.0,94.0
Non-programme,LUX,Luxembourg,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0
ESAR,MDG,Madagascar,DTP3,65,57,57,68,70,74,65,68,62,68,70,68,73,70.0,77.0,77.0,84.0,85.0,85.0,78.0,66.0,62.0,60.0,57.0
ESAR,MWI,Malawi,DTP3,91,86,93,94,95,92,88,84,88,91,89,96,97,93.0,93.0,91.0,87.0,99.0,93.0,89.0,84.0,64.0,90.0,75.0
EAPR,MYS,Malaysia,DTP3,97,97,95,98,98,99,99,98,99,97,97,97,96,96.0,97.0,97.0,97.0,95.0,96.0,95.0,96.0,94.0,96.0,98.0
ROSA,MDV,Maldives,DTP3,99,99,96,99,98,99,99,99,99,99,99,99,96,96.0,98.0,98.0,98.0,98.0,98.0,96.0,98.0,98.0,98.0,98.0
WCAR,MLI,Mali,DTP3,77,77,77,70,77,77,77,76,71,66,64,65,66,73.0,73.0,74.0,74.0,78.0,77.0,69.0,63.0,61.0,49.0,43.0
Non-programme,MLT,Malta,DTP3,98,98,99,98,98,97,98,97,97,99,99,99,96,76.0,73.0,72.0,74.0,85.0,92.0,89.0,94.0,95.0,95.0,94.0
EAPR,MHL,Marshall Islands,DTP3,85,86,86,82,79,81,80,71,85,78,79,80,87,94.0,96.0,95.0,93.0,74.0,77.0,64.0,68.0,80.0,48.0,39.0
WCAR,MRT,Mauritania,DTP3,90,85,77,81,80,77,76,74,73,81,80,80,75,64.0,64.0,74.0,75.0,68.0,71.0,70.0,76.0,89.0,75.0,51.0
Non-programme,MUS,Mauritius,DTP3,96,95,92,93,96,97,94,96,97,97,98,98,98,99.0,99.0,99.0,97.0,97.0,97.0,98.0,99.0,88.0,92.0,88.0
LACR,MEX,Mexico,DTP3,85,83,78,72,82,88,85,93,87,87,83,99,97,95.0,95.0,96.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0
EAPR,FSM,Micronesia (Federated States of),DTP3,79,69,72,83,78,75,73,69,72,77,81,81,84,85.0,91.0,85.0,79.0,67.0,94.0,78.0,92.0,84.0,75.0,85.0
Non-programme,MCO,Monaco,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
