unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Non-programme,SVK,Slovakia,PCV3,96,96.0,97.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,98.0,99.0,99.0,99.0,99.0,,,,,,,,,
Non-programme,SVN,Slovenia,PCV3,58,61.0,58.0,70.0,65.0,60.0,55.0,49.0,49.0,,,,,,,,,,,,,,,
EAPR,SLB,Solomon Islands,PCV3,81,89.0,86.0,93.0,94.0,84.0,81.0,87.0,42.0,,,,,,,,,,,,,,,
ESAR,ZAF,South Africa,PCV3,84,89.0,87.0,83.0,86.0,83.0,78.0,82.0,85.0,85.0,77.0,75.0,62.0,58.0,10.0,,,,,,,,,
Non-programme,ESP,Spain,PCV3,92,92.0,92.0,94.0,94.0,95.0,88.0,,,,,,,,,,,,,,,,,
MENA,PSE,State of Palestine,PCV3,87,99.0,95.0,98.0,99.0,96.0,99.0,99.0,99.0,99.0,97.0,25.0,,,,,,,,,,,,
MENA,SDN,Sudan,PCV3,52,69.0,85.0,90.0,93.0,93.0,95.0,93.0,93.0,97.0,30.0,,,,,,,,,,,,,
Non-programme,SWE,Sweden,PCV3,94,94.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,97.0,97.0,98.0,98.0,98.0,60.0,,,,,,,,
Non-programme,CHE,Switzerland,PCV3,89,89.0,88.0,86.0,84.0,84.0,84.0,80.0,80.0,80.0,75.0,62.0,50.0,37.0,25.0,13.0,,,,,,,,
ECAR,TJK,Tajikistan,PCV3,31,,,,,,,,,,,,,,,,,,,,,,,
EAPR,TLS,Timor-Leste,PCV3,56,,,,,,,,,,,,,,,,,,,,,,,
WCAR,TGO,Togo,PCV3,85,82.0,83.0,82.0,83.0,81.0,83.0,82.0,77.0,25.0,,,,,,,,,,,,,,
EAPR,TON,Tonga,PCV3,99,67.0,67.0,,,,,,,,,,,,,,,,,,,,,
LACR,TTO,Trinidad and Tobago,PCV3,94,93.0,95.0,95.0,93.0,99.0,93.0,91.0,93.0,95.0,80.0,39.0,,,,,,,,,,,,
MENA,TUN,Tunisia,PCV3,97,98.0,96.0,87.0,,,,,,,,,,,,,,,,,,,,
ECAR,TUR,Turkiye,PCV3,95,95.0,96.0,95.0,97.0,97.0,96.0,98.0,97.0,96.0,97.0,97.0,96.0,93.0,97.0,,,,,,,,,
ECAR,TKM,Turkmenistan,PCV3,99,98.0,97.0,23.0,,,,,,,,,,,,,,,,,,,,
EAPR,TUV,Tuvalu,PCV3,98,83.0,,,,,,,,,,,,,,,,,,,,,,
ESAR,UGA,Uganda,PCV3,91,90.0,91.0,89.0,92.0,92.0,90.0,77.0,64.0,60.0,,,,,,,,,,,,,,
MENA,ARE,United Arab Emirates,PCV3,94,95.0,95.0,84.0,99.0,99.0,96.0,99.0,99.0,99.0,98.0,96.0,95.0,94.0,,,,,,,,,,
Non-programme,GBR,United Kingdom,PCV3,89,90.0,91.0,91.0,91.0,92.0,92.0,92.0,93.0,93.0,93.0,92.0,90.0,89.0,,,,,,,,,,
ESAR,TZA,United Republic of Tanzania,PCV3,92,92.0,89.0,89.0,90.0,93.0,93.0,93.0,93.0,93.0,80.0,,,,,,,,,,,,,
Non-programme,USA,United States,PCV3,84,84.0,82.0,82.0,92.0,92.0,92.0,93.0,93.0,93.0,92.0,92.0,94.0,93.0,93.0,93.0,,,,,,,,
LACR,URY,Uruguay,PCV3,94,94.0,94.0,94.0,95.0,93.0,94.0,94.0,94.0,95.0,93.0,93.0,92.0,91.0,,,,,,,,,,
ECAR,UZB,Uzbekistan,PCV3,99,99.0,98.0,93.0,99.0,96.0,99.0,,,,,,,,,,,,,,,,,
EAPR,VUT,Vanuatu,PCV3,63,42.0,2.0,,,,,,,,,,,,,,,,,,,,,
LACR,VEN,Venezuela (Bolivarian Republic of),PCV3,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0,,,,,,,,,,,,,,,
MENA,YEM,Yemen,PCV3,45,57.0,55.0,55.0,58.0,51.0,58.0,62.0,63.0,69.0,71.0,67.0,41.0,,,,,,,,,,,
ESAR,ZMB,Zambia,PCV3,78,78.0,89.0,85.0,89.0,90.0,94.0,94.0,81.0,77.0,,,,,,,,,,,,,,
ESAR,ZWE,Zimbabwe,PCV3,90,90.0,88.0,86.0,90.0,89.0,89.0,90.0,87.0,91.0,95.0,21.0,,,,,,,,,,,,
