unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
LACR,PRY,Paraguay,RCV1,83,54,68.0,80.0,87.0,93.0,92.0,85.0,78.0,84.0,88.0,88.0,91.0,93.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,86.0,90.0,92.0
LACR,PER,Peru,RCV1,84,74,78.0,77.0,85.0,86.0,88.0,89.0,92.0,89.0,85.0,94.0,96.0,94.0,91.0,92.0,92.0,93.0,77.0,85.0,95.0,,,
EAPR,PHL,Philippines,RCV1,81,76,64.0,79.0,83.0,82.0,81.0,80.0,80.0,81.0,83.0,84.0,86.0,87.0,,,,,,,,,,
Non-programme,POL,Poland,RCV1,91,91,91.0,92.0,93.0,93.0,94.0,96.0,96.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,98.0,97.0,97.0,98.0,97.0,97.0
Non-programme,PRT,Portugal,RCV1,98,98,98.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,96.0,95.0,97.0,95.0,97.0,93.0,95.0,96.0,93.0,90.0,87.0
MENA,QAT,Qatar,RCV1,99,99,99.0,90.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,97.0,98.0,99.0,99.0,96.0,92.0,99.0,99.0,99.0,93.0,99.0,92.0,91.0
Non-programme,KOR,Republic of Korea,RCV1,97,97,98.0,98.0,98.0,98.0,97.0,98.0,98.0,99.0,99.0,99.0,99.0,98.0,93.0,92.0,92.0,99.0,99.0,99.0,96.0,97.0,96.0,95.0
ECAR,MDA,Republic of Moldova,RCV1,85,84,83.0,84.0,97.0,93.0,93.0,88.0,89.0,90.0,91.0,91.0,91.0,97.0,90.0,95.0,96.0,96.0,97.0,96.0,96.0,94.0,,
ECAR,ROU,Romania,RCV1,78,83,86.0,87.0,90.0,90.0,86.0,86.0,86.0,89.0,92.0,94.0,93.0,95.0,96.0,96.0,97.0,95.0,97.0,97.0,97.0,98.0,,
Non-programme,RUS,Russian Federation,RCV1,97,97,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,97.0,97.0
ESAR,RWA,Rwanda,RCV1,96,99,87.0,94.0,96.0,99.0,97.0,95.0,96.0,,,,,,,,,,,,,,,
LACR,KNA,Saint Kitts and Nevis,RCV1,95,95,96.0,95.0,97.0,96.0,93.0,98.0,95.0,93.0,99.0,95.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,90.0,99.0
LACR,LCA,Saint Lucia,RCV1,85,81,77.0,89.0,96.0,86.0,87.0,99.0,97.0,99.0,99.0,99.0,91.0,95.0,99.0,99.0,94.0,94.0,94.0,95.0,90.0,98.0,89.0,88.0
LACR,VCT,Saint Vincent and the Grenadines,RCV1,90,99,96.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,94.0,97.0,99.0,99.0,99.0,99.0,99.0,97.0,99.0,94.0,99.0,98.0,96.0
EAPR,WSM,Samoa,RCV1,87,82,62.0,66.0,96.0,40.0,67.0,75.0,75.0,85.0,92.0,76.0,59.0,56.0,45.0,44.0,63.0,54.0,57.0,25.0,,,,
Non-programme,SMR,San Marino,RCV1,89,91,89.0,90.0,86.0,89.0,86.0,82.0,84.0,81.0,82.0,84.0,90.0,88.0,88.0,86.0,90.0,90.0,94.0,94.0,94.0,96.0,97.0,99.0
WCAR,STP,Sao Tome and Principe,RCV1,86,82,77.0,86.0,95.0,95.0,90.0,93.0,,,,,,,,,,,,,,,,
MENA,SAU,Saudi Arabia,RCV1,97,98,98.0,96.0,95.0,98.0,96.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,96.0,95.0,97.0,97.0,96.0,97.0,94.0,94.0
WCAR,SEN,Senegal,RCV1,76,76,76.0,80.0,86.0,86.0,90.0,93.0,80.0,80.0,84.0,,,,,,,,,,,,,
ECAR,SRB,Serbia,RCV1,84,81,75.0,78.0,87.0,92.0,86.0,82.0,86.0,86.0,92.0,87.0,93.0,95.0,95.0,92.0,95.0,88.0,96.0,89.0,87.0,92.0,90.0,89.0
