unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Non-programme,ISR,Israel,HEPB3,96,96,96,96.0,96.0,96.0,97.0,95.0,96.0,97.0,97.0,97.0,98.0,97.0,98.0,99.0,99.0,96.0,96.0,99.0,98.0,98.0,96.0,98.0
Non-programme,ITA,Italy,HEPB3,95,95,94,94.0,95.0,95.0,94.0,93.0,93.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0
LACR,JAM,Jamaica,HEPB3,98,98,89,95.0,96.0,97.0,93.0,98.0,91.0,92.0,93.0,96.0,92.0,94.0,90.0,92.0,92.0,97.0,99.0,98.0,36.0,,,
Non-programme,JPN,Japan,HEPB3,95,96,96,92.0,99.0,,,,,,,,,,,,,,,,,,,
MENA,JOR,Jordan,HEPB3,96,92,85,77.0,89.0,96.0,99.0,98.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,98.0,98.0,95.0,95.0,97.0,95.0,97.0,93.0
ECAR,KAZ,Kazakhstan,HEPB3,97,99,95,88.0,97.0,98.0,99.0,82.0,98.0,95.0,99.0,95.0,99.0,99.0,99.0,99.0,94.0,99.0,94.0,99.0,99.0,95.0,95.0,99.0
ESAR,KEN,Kenya,HEPB3,93,94,95,93.0,93.0,91.0,81.0,88.0,89.0,92.0,87.0,94.0,96.0,90.0,88.0,88.0,81.0,80.0,76.0,73.0,73.0,84.0,,
EAPR,KIR,Kiribati,HEPB3,90,91,90,92.0,97.0,95.0,90.0,81.0,82.0,75.0,95.0,94.0,95.0,91.0,86.0,83.0,96.0,88.0,50.0,67.0,73.0,79.0,85.0,90.0
MENA,KWT,Kuwait,HEPB3,99,96,94,93.0,92.0,91.0,99.0,99.0,99.0,96.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,94.0,99.0,99.0,99.0,95.0
ECAR,KGZ,Kyrgyzstan,HEPB3,87,90,89,86.0,95.0,94.0,92.0,96.0,97.0,96.0,97.0,96.0,96.0,96.0,96.0,97.0,94.0,90.0,97.0,99.0,99.0,99.0,57.0,44.0
EAPR,LAO,Lao People's Democratic Republic,HEPB3,84,80,75,79.0,80.0,85.0,84.0,83.0,83.0,83.0,83.0,77.0,76.0,74.0,67.0,61.0,50.0,57.0,49.0,45.0,50.0,,,
Non-programme,LVA,Latvia,HEPB3,97,95,94,99.0,99.0,96.0,98.0,98.0,94.0,92.0,94.0,90.0,89.0,91.0,92.0,93.0,91.0,94.0,99.0,98.0,98.0,98.0,96.0,95.0
MENA,LBN,Lebanon,HEPB3,55,67,67,71.0,74.0,75.0,77.0,78.0,79.0,80.0,80.0,80.0,80.0,80.0,81.0,81.0,80.0,78.0,77.0,75.0,74.0,77.0,80.0,83.0
ESAR,LSO,Lesotho,HEPB3,87,87,87,87.0,87.0,87.0,87.0,87.0,83.0,88.0,93.0,95.0,96.0,93.0,91.0,88.0,90.0,91.0,87.0,60.0,17.0,,,
WCAR,LBR,Liberia,HEPB3,82,78,66,65.0,70.0,80.0,80.0,73.0,65.0,63.0,80.0,80.0,77.0,70.0,81.0,75.0,,,,,,,,
MENA,LBY,Libya,HEPB3,73,73,73,73.0,73.0,73.0,96.0,97.0,97.0,94.0,96.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,99.0,96.0,91.0,93.0,92.0
Non-programme,LTU,Lithuania,HEPB3,89,90,90,91.0,92.0,93.0,94.0,95.0,94.0,94.0,93.0,93.0,95.0,94.0,95.0,96.0,96.0,95.0,95.0,94.0,95.0,94.0,95.0,98.0
Non-programme,LUX,Luxembourg,HEPB3,96,96,96,96.0,96.0,96.0,94.0,94.0,94.0,94.0,94.0,94.0,95.0,94.0,95.0,94.0,87.0,95.0,95.0,94.0,95.0,95.0,86.0,77.0
ESAR,MDG,Madagascar,HEPB3,65,57,57,68.0,70.0,74.0,65.0,68.0,62.0,68.0,70.0,68.0,73.0,70.0,77.0,77.0,84.0,82.0,81.0,71.0,61.0,51.0,,
ESAR,MWI,Malawi,HEPB3,91,86,93,94.0,95.0,92.0,88.0,84.0,88.0,91.0,89.0,96.0,97.0,93.0,93.0,91.0,87.0,99.0,93.0,89.0,84.0,64.0,,
EAPR,MYS,Malaysia,HEPB3,97,96,94,99.0,97.0,99.0,98.0,98.0,99.0,96.0,96.0,97.0,96.0,96.0,96.0,97.0,96.0,95.0,96.0,94.0,95.0,95.0,95.0,97.0
ROSA,MDV,Maldives,HEPB3,99,99,96,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,97.0,98.0,98.0,98.0,98.0,98.0,97.0,98.0,98.0,98.0,96.0
WCAR,MLI,Mali,HEPB3,77,77,77,70.0,77.0,77.0,77.0,76.0,71.0,66.0,64.0,65.0,66.0,72.0,71.0,74.0,74.0,90.0,83.0,73.0,79.0,,,
Non-programme,MLT,Malta,HEPB3,98,98,99,98.0,98.0,98.0,88.0,97.0,95.0,90.0,94.0,93.0,82.0,75.0,86.0,86.0,82.0,86.0,85.0,85.0,89.0,,,
EAPR,MHL,Marshall Islands,HEPB3,89,87,89,86.0,82.0,84.0,82.0,73.0,85.0,79.0,80.0,80.0,89.0,97.0,99.0,97.0,93.0,97.0,89.0,72.0,74.0,80.0,76.0,38.0
WCAR,MRT,Mauritania,HEPB3,90,85,77,81.0,80.0,77.0,76.0,74.0,73.0,81.0,80.0,80.0,75.0,64.0,64.0,74.0,74.0,68.0,42.0,,,,,
Non-programme,MUS,Mauritius,HEPB3,96,95,92,93.0,97.0,97.0,96.0,72.0,97.0,97.0,98.0,98.0,98.0,99.0,99.0,99.0,97.0,97.0,97.0,98.0,97.0,88.0,92.0,88.0
LACR,MEX,Mexico,HEPB3,85,83,80,77.0,56.0,55.0,58.0,82.0,76.0,84.0,82.0,99.0,98.0,93.0,95.0,97.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0
EAPR,FSM,Micronesia (Federated States of),HEPB3,85,75,79,88.0,84.0,83.0,80.0,76.0,78.0,81.0,83.0,82.0,83.0,88.0,89.0,89.0,90.0,84.0,91.0,80.0,89.0,85.0,81.0,87.0
Non-programme,MCO,Monaco,HEPB3,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
EAPR,MNG,Mongolia,HEPB3,96,95,95,96.0,98.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,96.0,97.0,96.0,98.0,98.0,98.0,98.0,98.0,98.0,95.0,93.0
ECAR,MNE,Montenegro,HEPB3,42,45,51,52.0,62.0,72.0,73.0,75.0,82.0,87.0,90.0,90.0,91.0,90.0,87.0,93.0,90.0,90.0,,,,,,
MENA,MAR,Morocco,HEPB3,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,97.0,95.0,95.0,96.0,95.0,90.0,92.0,84.0,43.0
ESAR,MOZ,Mozambique,HEPB3,70,55,56,71.0,85.0,85.0,85.0,85.0,85.0,85.0,82.0,80.0,77.0,74.0,74.0,75.0,75.0,75.0,75.0,76.0,76.0,76.0,25.0,
EAPR,MMR,Myanmar,HEPB3,76,71,37,84.0,90.0,91.0,89.0,90.0,89.0,88.0,75.0,58.0,40.0,92.0,91.0,85.0,85.0,75.0,62.0,39.0,8.0,,,
ESAR,NAM,Namibia,HEPB3,83,84,94,93.0,87.0,89.0,88.0,85.0,92.0,88.0,89.0,84.0,82.0,83.0,,,,,,,,,,
EAPR,NRU,Nauru,HEPB3,97,97,98,95.0,96.0,90.0,87.0,97.0,91.0,95.0,87.0,79.0,99.0,99.0,99.0,99.0,99.0,99.0,80.0,78.0,77.0,75.0,95.0,58.0
ROSA,NPL,Nepal,HEPB3,94,90,91,84.0,93.0,91.0,90.0,87.0,91.0,92.0,92.0,90.0,92.0,82.0,89.0,82.0,82.0,69.0,41.0,27.0,2.0,,,
Non-programme,NLD,Netherlands (Kingdom of the),HEPB3,86,88,93,93.0,92.0,92.0,92.0,93.0,94.0,94.0,51.0,20.0,20.0,,,,,,,,,,,
Non-programme,NZL,New Zealand,HEPB3,88,89,90,92.0,92.0,93.0,94.0,92.0,92.0,93.0,93.0,93.0,95.0,90.0,93.0,90.0,88.0,87.0,87.0,88.0,89.0,89.0,90.0,90.0
LACR,NIC,Nicaragua,HEPB3,89,92,87,92.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,93.0,88.0,86.0,79.0,86.0,85.0,87.0,83.0
WCAR,NER,Niger,HEPB3,85,84,82,81.0,81.0,79.0,85.0,80.0,84.0,81.0,73.0,71.0,75.0,70.0,71.0,,,,,,,,,
WCAR,NGA,Nigeria,HEPB3,62,62,62,62.0,66.0,61.0,55.0,53.0,42.0,43.0,43.0,42.0,45.0,49.0,63.0,41.0,42.0,27.0,18.0,,,,,
EAPR,NIU,Niue,HEPB3,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,86.0,99.0,95.0,99.0,99.0,99.0
ECAR,MKD,North Macedonia,HEPB3,86,84,79,84.0,92.0,92.0,91.0,94.0,92.0,97.0,97.0,98.0,96.0,90.0,95.0,97.0,96.0,89.0,53.0,,,,,
Non-programme,NOR,Norway,HEPB3,96,96,96,97.0,96.0,,,,,,,,,,,,,,,,,,,
MENA,OMN,Oman,HEPB3,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
ROSA,PAK,Pakistan,HEPB3,86,85,83,80.0,84.0,80.0,75.0,75.0,72.0,69.0,65.0,64.0,63.0,52.0,52.0,53.0,54.0,60.0,65.0,62.0,62.0,,,
EAPR,PLW,Palau,HEPB3,98,95,96,93.0,98.0,98.0,98.0,98.0,90.0,99.0,99.0,89.0,91.0,80.0,69.0,92.0,91.0,98.0,98.0,98.0,99.0,99.0,98.0,96.0
LACR,PAN,Panama,HEPB3,66,82,87,74.0,88.0,88.0,81.0,86.0,73.0,80.0,80.0,85.0,87.0,94.0,85.0,86.0,85.0,88.0,92.0,95.0,98.0,98.0,98.0,
EAPR,PNG,Papua New Guinea,HEPB3,35,37,32,40.0,35.0,35.0,36.0,46.0,49.0,52.0,59.0,57.0,58.0,55.0,64.0,55.0,58.0,69.0,63.0,60.0,67.0,60.0,59.0,57.0
LACR,PRY,Paraguay,HEPB3,71,69,70,79.0,86.0,88.0,91.0,92.0,92.0,93.0,90.0,91.0,91.0,91.0,85.0,87.0,86.0,92.0,92.0,90.0,86.0,,,
LACR,PER,Peru,HEPB3,84,82,82,72.0,88.0,89.0,89.0,90.0,90.0,88.0,88.0,95.0,91.0,93.0,93.0,93.0,93.0,94.0,94.0,92.0,65.0,,,
